purpose,int_rate,installment,log_annual_inc,fico,revol_bal,delinq_2yrs,pub_rec,not_fully_paid
credit_card,0.143,498.35,5.176091259055681,694,19748,5.0,0,0
home_improvement,0.11,870.29,4.740362689494244,734,11898,1.0,0,0
credit_card,0.088,785.32,5.217483944213907,694,20681,0.0,0,0
credit_card,0.17,285.03,4.6020599913279625,744,8514,0.0,0,0
debt_consolidation,0.088,570.81,4.556302500767287,714,7555,0.0,0,1
debt_consolidation,0.17,893.73,5.060697840353612,679,60984,0.0,0,1
credit_card,0.143,281.09,4.977723605288848,749,14083,0.0,0,1
debt_consolidation,0.11,435.05,4.3044905277734875,774,353,0.0,0,1
debt_consolidation,0.088,1268.46,5.113943352306837,704,29208,0.0,0,1
debt_consolidation,0.161,365.73,4.477121254719663,734,13869,0.0,0,1
debt_consolidation,0.076,249.08,4.649850642164718,719,8075,0.0,0,1
credit_card,0.206,341.72,4.7160033436347994,709,28147,0.0,0,1
debt_consolidation,0.143,495.42,4.785329835010767,779,3812,0.0,0,1
credit_card,0.152,837.07,5.108926785088116,704,40022,0.0,1,1
credit_card,0.088,158.56,4.620136054973758,799,2742,0.0,0,1
debt_consolidation,0.131,340.7,4.745488580141146,709,19242,0.0,0,1
debt_consolidation,0.17,364.32,4.477121254719663,679,7625,0.0,1,1
debt_consolidation,0.124,897.89,5.079181246047625,704,30323,0.0,0,1
debt_consolidation,0.088,325.05,4.919078092376074,709,19612,0.0,0,1
debt_consolidation,0.103,778.14,5.251638220448212,689,25416,0.0,0,1
debt_consolidation,0.088,190.27,4.698970004336019,709,7830,1.0,0,1
debt_consolidation,0.117,1157.66,5.339451441306441,714,139422,0.0,0,1
debt_consolidation,0.07,243.23,5.096910013008056,729,7076,0.0,0,1
debt_consolidation,0.131,911.77,5.021189299069938,759,6748,0.0,1,1
credit_card,0.206,524.23,4.954242509439325,674,55300,0.0,0,0
credit_card,0.082,502.79,5.086359830674748,709,53317,0.0,0,0
debt_consolidation,0.206,449.34,4.397244581010386,699,17091,0.0,0,0
debt_consolidation,0.082,1002.43,5.0,734,30233,0.0,0,0
debt_consolidation,0.07,370.64,4.778151250383644,769,8859,0.0,0,0
other,0.065,735.14,4.8750612633917,744,19268,0.0,0,0
other,0.11,58.95,4.6020599913279625,714,8164,1.0,0,0
credit_card,0.124,897.89,4.913278598987119,699,35047,0.0,0,0
debt_consolidation,0.124,434.28,4.7923916894982534,709,11210,0.0,0,0
debt_consolidation,0.088,729.37,4.892094602690481,749,0,0.0,0,0
debt_consolidation,0.11,131.0,4.954242509439325,664,17864,0.0,0,0
debt_consolidation,0.117,253.04,4.799340549453582,694,7993,0.0,0,0
debt_consolidation,0.131,505.99,4.724275869600789,669,17001,2.0,0,0
home_improvement,0.177,537.25,5.176091259055681,669,278,1.0,0,0
credit_card,0.161,563.47,5.052617000746292,679,58640,0.0,0,0
debt_consolidation,0.11,173.57,4.785329835010767,719,898,0.0,0,1
debt_consolidation,0.131,911.77,5.02530586526477,714,29505,0.0,0,1
credit_card,0.152,443.49,4.9344984512435675,744,10830,0.0,0,1
credit_card,0.103,448.24,4.724275869600789,684,5329,0.0,0,1
debt_consolidation,0.143,351.37,4.880813592280791,694,29439,0.0,0,1
debt_consolidation,0.186,328.09,5.079181246047625,704,27045,0.0,0,1
other,0.17,595.82,4.924795995797912,689,9452,0.0,0,1
debt_consolidation,0.088,505.8,4.892094602690481,779,27592,0.0,0,1
debt_consolidation,0.17,611.02,5.096910013008056,679,67032,0.0,0,1
debt_consolidation,0.103,389.07,5.380211241711606,679,28804,0.0,0,1
credit_card,0.124,897.89,5.332438459915605,689,42510,0.0,0,1
credit_card,0.076,1245.36,5.3979400086720375,704,88536,0.0,0,1
debt_consolidation,0.076,922.34,5.301029995663981,769,19900,0.0,0,1
debt_consolidation,0.143,514.86,4.778151250383644,699,4782,0.0,0,1
debt_consolidation,0.076,467.01,4.518513939877887,729,8145,0.0,0,1
credit_card,0.088,380.54,4.763427993562937,679,15041,0.0,1,1
debt_consolidation,0.065,309.38,4.531478917042255,799,4662,0.0,0,1
credit_card,0.131,287.21,4.75495958772171,719,9021,0.0,0,1
credit_card,0.11,261.99,4.732393759822968,669,14389,0.0,0,1
debt_consolidation,0.11,702.61,4.892094602690481,774,7725,0.0,0,1
debt_consolidation,0.131,727.14,5.531478917042255,669,32486,0.0,0,1
debt_consolidation,0.288,490.91,4.6020599913279625,679,5374,0.0,0,1
major_purchase,0.131,727.14,4.740362689494244,719,10891,0.0,0,1
debt_consolidation,0.131,607.19,5.2455126678141495,694,17244,0.0,0,1
credit_card,0.065,306.31,4.4831592097169795,744,12826,0.0,0,1
major_purchase,0.065,320.1,4.556302500767287,804,633,0.0,0,1
home_improvement,0.206,1123.34,5.681241237375588,724,13151,0.0,0,1
debt_consolidation,0.11,392.98,5.068185861746161,739,24967,0.0,0,1
debt_consolidation,0.206,670.03,3.681241237375587,674,3451,0.0,1,1
debt_consolidation,0.088,400.36,5.2455126678141495,699,21403,0.0,0,1
debt_consolidation,0.152,695.66,5.146128035678238,689,12871,0.0,0,1
debt_consolidation,0.082,529.56,4.954242509439325,724,9407,0.0,0,1
debt_consolidation,0.231,600.37,4.6127838567197355,669,16664,0.0,0,1
credit_card,0.131,465.57,5.146128035678238,669,52735,0.0,0,1
credit_card,0.143,720.8,4.752048447819439,714,2670,0.0,0,1
debt_consolidation,0.103,194.54,5.079181246047625,724,8151,0.0,0,1
debt_consolidation,0.186,488.91,4.57978359661681,699,25447,0.0,0,1
debt_consolidation,0.152,730.64,4.986771734266245,704,34475,0.0,0,1
credit_card,0.082,630.84,5.4623979978989565,724,12129,0.0,0,1
credit_card,0.143,374.79,4.526959255342246,759,183923,0.0,0,1
debt_consolidation,0.186,1029.28,5.113943352306837,699,8956,0.0,0,1
credit_card,0.076,996.29,5.204119982655925,714,72688,0.0,0,1
debt_consolidation,0.152,243.49,4.732393759822968,674,7335,0.0,0,1
debt_consolidation,0.177,216.14,4.7923916894982534,664,6743,2.0,0,1
credit_card,0.124,319.03,5.146128035678238,664,52030,0.0,1,1
